ID,objectType,imageIndex,u0,u1,v0,v1,area
110926_0086_0,person,0,659,720,130,248,7198
110926_0086_0,person,1,658,715,130,244,6498
110926_0086_0,person,2,651,709,130,246,6728
110926_0086_0,person,3,648,703,133,242,5995
110926_0086_0,person,4,652,698,131,233,4692
110926_0086_0,person,5,641,699,136,243,6206
110926_0086_1,car,5,888,927,109,135,1014
110926_0086_0,person,6,642,696,136,239,5562
110926_0086_2,car,6,890,927,111,136,925
110926_0086_0,person,7,640,700,138,244,6360
110926_0086_0,person,8,640,698,137,242,6090
110926_0086_3,car,8,886,927,107,138,1271
110926_0086_0,person,9,639,697,136,246,6380
110926_0086_2,car,9,885,926,108,139,1271
110926_0086_0,person,10,632,695,137,249,7056
110926_0086_0,person,11,623,688,133,256,7995
110926_0086_1,person,12,609,678,135,256,8349
110926_0086_2,car,12,869,909,112,143,1240
110926_0086_0,person,13,603,673,137,261,8680
110926_0086_0,person,14,587,659,138,271,9576
110926_0086_0,person,15,577,641,141,264,7872
110926_0086_0,person,16,559,619,146,261,6900
110926_0086_2,car,16,820,857,117,150,1221
110926_0086_1,person,17,534,597,147,271,7812
110926_0086_1,person,18,522,578,149,263,6384
110926_0086_1,person,19,496,554,151,265,6612
110926_0086_2,car,19,768,802,124,154,1020
110926_0086_1,person,20,469,538,150,277,8763
110926_0086_2,car,20,747,783,127,155,1008
110926_0086_1,person,21,442,515,149,289,10220
110926_0086_2,car,21,727,764,126,157,1147
110926_0086_1,person,22,413,491,150,293,11154
110926_0086_1,person,23,380,464,152,301,12516
110926_0086_1,person,24,349,436,151,310,13833
110926_0086_2,car,24,676,710,133,161,952
110926_0086_0,person,25,307,421,155,344,21546
110926_0086_2,car,25,662,693,134,164,930
110926_0086_1,person,26,269,375,157,351,20564
110926_0086_2,car,26,649,680,142,167,775
110926_0086_0,person,27,213,343,158,369,27430
110926_0086_1,car,27,638,671,143,170,891
110926_0086_0,person,28,176,308,160,372,27984
110926_0086_2,car,28,630,665,149,176,945
110926_0086_0,person,29,130,256,168,370,25452
110926_0086_1,car,29,623,659,153,184,1116
110926_0086_0,person,30,56,208,179,371,29184
110926_0086_2,person,30,9,265,244,375,33536
110926_0086_0,person,31,0,143,190,370,25740
110926_0086_2,car,31,609,644,173,200,945
110926_0086_0,person,32,0,50,221,370,7450
110926_0086_1,car,32,602,640,175,208,1254
110926_0086_0,car,34,592,625,199,228,957
110926_0086_0,car,35,583,619,207,238,1116
110926_0086_0,car,36,580,617,211,244,1221
110926_0086_0,car,37,576,612,210,245,1260
110926_0086_0,car,38,572,611,206,243,1443
110926_0086_0,car,39,567,604,208,239,1147
110926_0086_0,car,40,564,602,205,239,1292
110926_0086_0,car,41,559,599,206,241,1400
110926_0086_0,car,42,556,595,206,242,1404
110926_0086_0,car,43,550,591,205,241,1476
110926_0086_0,car,44,550,588,204,238,1292
110926_0086_0,car,45,548,586,200,235,1330
110926_0086_0,car,46,544,583,195,233,1482
110926_0086_0,car,47,540,579,194,233,1521
110926_0086_0,car,48,535,577,196,237,1722
110926_0086_0,car,49,530,574,200,240,1760
110926_0086_0,car,50,527,572,201,240,1755
110926_0086_0,car,51,524,569,200,240,1800
110926_0086_0,car,52,518,566,201,243,2016
110926_0086_0,car,53,513,561,202,244,2016
110926_0086_0,car,54,507,557,200,243,2150
110926_0086_0,car,55,504,554,193,239,2300
110926_0086_0,car,56,500,553,188,237,2597
110926_0086_0,car,57,495,546,187,236,2499
110926_0086_0,car,58,492,541,188,236,2352
110926_0086_0,car,59,484,540,189,243,3024
110926_0086_0,car,60,478,536,192,246,3132
110926_0086_0,car,61,470,532,192,247,3410
110926_0086_0,car,62,468,527,187,243,3304
110926_0086_0,car,63,463,523,185,242,3420
110926_0086_0,car,64,457,520,183,242,3717
110926_0086_0,car,65,446,517,183,245,4402
110926_0086_0,car,66,440,512,182,245,4536
110926_0086_0,car,67,432,510,175,245,5460
110926_0086_0,car,68,424,505,169,238,5589
110926_0086_0,truck,69,415,499,164,238,6216
110926_0086_1,car,69,415,499,167,239,6048
110926_0086_2,umbrella,69,1155,1241,145,228,7138
110926_0086_3,car,69,621,641,178,197,380
110926_0086_4,truck,69,639,669,155,206,1530
110926_0086_0,car,70,405,496,168,245,7007
110926_0086_1,car,70,622,641,178,198,380
110926_0086_0,car,71,398,492,172,249,7238
110926_0086_1,car,71,620,642,182,202,440
110926_0086_0,car,72,389,487,174,255,7938
110926_0086_1,car,72,620,645,185,206,525
110926_0086_0,car,73,374,482,174,260,9288
110926_0086_1,truck,73,374,480,175,261,9116
110926_0086_2,car,73,623,648,187,207,500
110926_0086_0,car,74,369,480,177,262,9435
110926_0086_1,truck,74,369,480,177,263,9546
110926_0086_2,car,74,622,648,188,207,494
110926_0086_0,car,75,358,475,178,267,10413
110926_0086_1,car,75,628,650,190,210,440
110926_0086_2,truck,75,356,477,177,269,11132
110926_0086_0,car,76,345,472,180,276,12192
110926_0086_0,car,77,330,466,178,273,12920
110926_0086_1,car,77,632,654,188,209,462
110926_0086_0,car,78,316,461,174,277,14935
110926_0086_1,car,78,634,658,186,208,528
110926_0086_2,car,78,551,580,203,216,377
110926_0086_0,car,79,297,455,174,278,16432
110926_0086_1,car,79,553,582,202,216,406
110926_0086_2,car,79,633,660,186,207,567
110926_0086_0,car,80,270,446,170,293,21648
110926_0086_1,car,80,552,581,200,214,406
110926_0086_3,car,80,634,661,185,206,567
110926_0086_0,car,81,243,438,169,304,26325
110926_0086_2,car,81,552,583,201,214,403
110926_0086_3,car,81,640,666,182,206,624
110926_0086_0,car,82,210,430,170,310,30800
110926_0086_1,car,82,639,667,184,206,616
110926_0086_2,car,82,553,584,201,216,465
110926_0086_0,car,83,171,416,174,331,38465
110926_0086_1,car,83,641,666,187,210,575
110926_0086_2,car,83,552,590,204,218,532
110926_0086_0,car,84,123,400,173,350,49029
110926_0086_1,car,84,641,668,189,211,594
110926_0086_2,car,84,552,587,205,220,525
110926_0086_3,truck,84,673,717,180,234,2376
110926_0086_0,car,85,55,383,170,366,64288
110926_0086_1,car,85,646,671,188,209,525
110926_0086_2,truck,85,676,719,180,233,2279
110926_0086_0,car,86,2,368,166,369,74298
110926_0086_1,car,86,644,672,187,208,588
110926_0086_2,truck,86,677,724,180,233,2491
110926_0086_3,car,86,549,593,204,219,660
110926_0086_0,car,87,4,336,168,370,67064
110926_0086_1,car,87,647,674,186,207,567
110926_0086_2,car,87,549,590,203,219,656
110926_0086_0,car,88,5,302,171,370,59103
110926_0086_1,car,88,647,672,185,208,575
110926_0086_2,truck,88,683,733,172,235,3150
110926_0086_3,car,88,549,590,204,221,697
110926_0086_0,car,89,1,266,166,370,54060
110926_0086_1,car,89,648,676,187,210,644
110926_0086_2,truck,89,687,735,165,237,3456
110926_0086_0,car,90,0,214,166,367,43014
110926_0086_1,car,90,647,677,187,210,690
110926_0086_0,car,91,0,145,168,365,28565
110926_0086_1,car,91,649,680,187,211,744
110926_0086_0,car,92,649,682,184,209,825
110926_0086_1,car,92,0,42,265,372,4494
110926_0086_2,car,92,548,589,203,222,779
110926_0086_0,car,93,651,682,184,207,713
110926_0086_1,car,93,546,588,201,219,756
110926_0086_0,car,94,651,682,180,205,775
110926_0086_0,car,95,654,685,180,205,775
110926_0086_0,car,96,655,684,184,209,725
110926_0086_1,truck,96,710,777,171,247,5092
110926_0086_0,car,97,655,688,186,213,891
110926_0086_0,car,98,657,693,187,215,1008
110926_0086_0,car,99,658,693,186,215,1015
110926_0086_0,car,100,659,696,185,214,1073
110926_0086_1,truck,100,658,697,184,215,1209
110926_0086_0,car,101,659,698,184,213,1131
110926_0086_1,truck,101,660,699,184,214,1170
110926_0086_0,car,102,661,699,183,213,1140
110926_0086_0,car,103,661,700,184,216,1248
110926_0086_0,car,104,661,701,185,217,1280
110926_0086_1,truck,104,770,871,178,283,10605
110926_0086_0,car,105,662,703,187,219,1312
110926_0086_0,car,106,660,701,187,219,1312
110926_0086_1,truck,106,791,914,178,301,15129
110926_0086_0,car,107,658,701,188,221,1419
110926_0086_1,truck,107,661,701,188,224,1440
110926_0086_2,truck,107,799,937,179,314,18630
110926_0086_0,car,108,658,702,188,222,1496
110926_0086_0,car,109,656,701,189,225,1620
110926_0086_0,car,110,656,702,189,224,1610
110926_0086_0,car,111,656,701,188,227,1755
110926_0086_1,truck,111,858,1100,184,370,45012
110926_0086_0,car,112,655,703,190,227,1776
110926_0086_1,truck,112,655,703,189,228,1872
110926_0086_0,car,113,653,702,187,229,2058
110926_0086_1,truck,113,654,702,186,228,2016
110926_0086_0,truck,114,652,706,181,228,2538
110926_0086_1,car,114,652,704,185,228,2236
110926_0086_0,car,115,651,704,187,228,2173
110926_0086_1,truck,115,651,704,183,228,2385
110926_0086_0,car,116,649,706,182,228,2622
110926_0086_1,truck,116,650,708,178,229,2958
110926_0086_0,car,117,648,706,184,228,2552
110926_0086_0,car,118,646,707,183,226,2623
110926_0086_0,car,119,647,708,179,224,2745
110926_0086_0,car,120,646,709,172,222,3150
110926_0086_1,truck,120,646,710,168,222,3456
110926_0086_0,car,121,648,710,174,219,2790
110926_0086_0,car,122,649,712,164,217,3339
110926_0086_0,car,123,649,712,169,220,3213
110926_0086_0,car,124,649,714,170,222,3380
110926_0086_0,car,125,648,717,173,225,3588
110926_0086_0,car,126,650,722,171,229,4176
110926_0086_0,car,127,653,725,180,235,3960
110926_0086_0,car,128,654,732,186,243,4446
110926_0086_0,car,129,659,739,193,252,4720
110926_0086_0,car,130,661,748,194,255,5307
110926_0086_0,car,131,664,750,192,256,5504
110926_0086_0,car,132,673,760,193,261,5916
110926_0086_0,car,133,676,770,194,265,6674
110926_0086_1,truck,133,676,770,192,264,6768
110926_0086_0,car,134,682,782,193,264,7100
110926_0086_0,car,135,687,791,193,267,7696
110926_0086_0,car,136,693,806,193,273,9040
110926_0086_0,car,137,699,821,194,278,10248
110926_0086_0,car,138,701,833,193,278,11220
110926_0086_0,car,139,709,851,193,281,12496
110926_0086_0,car,140,717,868,187,285,14798
110926_0086_0,car,141,722,891,183,281,16562
110926_0086_1,truck,141,724,896,181,280,17028
110926_0086_0,car,142,732,917,181,297,21460
110926_0086_0,car,143,741,945,180,302,24888
110926_0086_1,person,143,958,986,92,133,1148
110926_0086_2,car,143,835,881,121,144,1058
110926_0086_0,car,144,751,980,186,313,29083
110926_0086_2,person,144,982,1010,91,133,1176
110926_0086_3,car,144,846,894,118,145,1296
110926_0086_0,car,145,759,1025,188,337,39634
110926_0086_0,car,146,769,1078,188,356,51912
110926_0086_0,car,147,779,1142,188,368,65340
110926_0086_0,car,148,793,1235,163,372,92378
110926_0086_1,person,148,1106,1154,63,122,2832
110926_0086_0,car,149,805,1238,191,373,78806
110926_0086_1,person,149,1154,1205,55,112,2907
110926_0086_0,car,150,828,1239,198,372,71514
110926_0086_1,person,150,1208,1241,50,100,1650
110926_0086_0,car,151,851,1240,206,372,64574
110926_0086_0,car,152,875,1239,218,370,55328
110926_0086_0,car,153,905,1239,232,374,47428
110926_0086_0,car,261,523,547,216,234,432
110926_0086_0,car,466,482,510,177,205,784
110926_0086_0,car,470,492,522,166,199,990
110926_0086_0,car,471,494,525,166,199,1023
110926_0086_0,car,472,495,527,167,198,992
110926_0086_0,car,473,494,531,165,201,1332
110926_0086_0,car,474,494,533,167,204,1443
