ID,objectType,imageIndex,u0,u1,v0,v1,area
110926_0070_0,car,0,381,831,147,354,93150
110926_0070_0,car,1,496,1005,147,366,111471
110926_0070_0,car,2,626,1221,147,369,132090
110926_0070_2,car,2,533,645,190,223,3696
110926_0070_0,truck,3,780,1240,141,372,106260
110926_0070_1,car,3,778,1241,144,372,105564
110926_0070_0,truck,4,935,1239,143,374,70224
110926_0070_1,bus,5,1109,1240,136,365,29999
110926_0070_2,truck,5,1107,1240,136,356,29260
110926_0070_0,bench,14,549,856,194,266,22104
110926_0070_1,bench,14,960,1080,177,257,9600
110926_0070_0,bench,15,519,830,192,265,22703
110926_0070_0,bench,16,478,778,194,265,21300
110926_0070_0,bench,17,429,748,189,268,25201
110926_0070_0,bench,18,820,925,179,252,7665
110926_0070_0,bench,20,281,632,199,281,28782
110926_0070_0,bench,21,212,602,201,287,33540
110926_0070_2,bench,21,626,801,179,261,14350
110926_0070_0,bench,22,146,563,194,297,42951
110926_0070_0,bench,23,17,485,200,307,50076
110926_0070_0,bench,24,9,415,218,308,36540
110926_0070_0,bench,25,5,342,222,314,31004
110926_0070_0,bench,27,0,206,225,324,20394
110926_0070_0,bus,29,1180,1241,184,232,2928
110926_0070_1,car,29,1180,1240,184,232,2880
110926_0070_0,car,30,1112,1170,183,227,2552
110926_0070_1,bench,30,156,321,142,304,26730
110926_0070_0,car,31,1049,1097,181,223,2016
110926_0070_0,car,32,991,1034,181,219,1634
110926_0070_0,car,33,938,982,181,216,1540
110926_0070_0,car,34,891,931,179,213,1360
110926_0070_0,car,35,845,882,180,213,1221
110926_0070_0,car,36,803,836,182,213,1023
110926_0070_0,car,37,764,798,179,211,1088
110926_0070_0,car,38,727,757,182,210,840
110926_0070_0,car,39,696,727,180,209,899
110926_0070_0,car,40,669,699,181,208,810
110926_0070_0,car,41,646,674,180,210,840
110926_0070_0,car,42,627,655,179,207,784
110926_0070_0,car,43,611,638,179,207,756
110926_0070_0,car,44,600,625,181,209,700
110926_0070_0,car,45,590,616,180,206,676
110926_0070_0,car,46,585,614,179,206,783
110926_0070_0,car,47,585,611,180,208,728
110926_0070_0,car,48,586,611,179,206,675
110926_0070_0,car,49,587,613,179,204,650
110926_0070_1,car,49,556,572,184,197,208
110926_0070_0,car,50,589,614,179,203,600
110926_0070_0,car,51,591,615,179,201,528
110926_0070_0,car,52,592,616,179,202,552
110926_0070_0,car,53,593,616,178,202,552
110926_0070_0,car,54,555,575,183,201,360
110926_0070_1,car,54,594,617,179,201,506
110926_0070_0,car,55,553,575,184,201,374
110926_0070_1,car,55,595,619,180,203,552
110926_0070_0,car,56,550,573,184,204,460
110926_0070_1,car,56,596,619,179,202,529
110926_0070_0,car,57,597,618,179,201,462
110926_0070_1,car,57,548,574,183,204,546
110926_0070_0,car,58,597,618,179,201,462
110926_0070_1,car,58,546,572,186,206,520
110926_0070_0,car,59,541,570,186,209,667
110926_0070_1,car,59,596,619,178,201,529
110926_0070_0,car,60,537,570,186,210,792
110926_0070_1,car,60,597,617,180,202,440
110926_0070_0,car,61,533,565,188,212,768
110926_0070_1,car,61,594,618,179,204,600
110926_0070_0,car,62,594,617,183,206,529
110926_0070_1,car,62,528,560,189,215,832
110926_0070_2,truck,62,529,560,187,215,868
110926_0070_0,car,63,594,618,181,205,576
110926_0070_1,truck,63,522,559,185,218,1221
110926_0070_2,car,63,522,559,186,218,1184
110926_0070_0,car,64,594,617,181,205,552
110926_0070_1,truck,64,513,553,187,222,1400
110926_0070_2,car,64,513,552,187,222,1365
110926_0070_0,car,65,594,616,182,207,550
110926_0070_1,car,65,501,550,188,225,1813
110926_0070_2,truck,65,502,550,187,225,1824
110926_0070_0,car,66,491,546,188,228,2200
110926_0070_1,car,66,594,617,181,205,552
110926_0070_0,car,67,478,540,188,234,2852
110926_0070_1,car,67,594,618,180,204,576
110926_0070_0,car,68,460,533,189,242,3869
110926_0070_1,car,68,596,617,180,203,483
110926_0070_0,car,69,436,523,189,251,5394
110926_0070_1,car,69,596,619,179,200,483
110926_0070_0,car,70,399,513,191,263,8208
110926_0070_1,car,70,596,618,176,199,506
110926_0070_0,car,71,345,498,194,285,13923
110926_0070_1,car,71,597,620,176,198,506
110926_0070_0,car,72,251,473,196,324,28416
110926_0070_1,car,72,598,619,177,199,462
110926_0070_0,car,73,37,420,207,371,62812
110926_0070_1,car,73,598,620,176,199,506
110926_0070_0,car,74,4,322,221,370,47382
110926_0070_1,car,74,599,620,177,198,441
110926_0070_0,car,75,600,622,179,198,418
110926_0070_0,car,76,601,623,178,198,440
110926_0070_0,car,77,603,624,178,198,420
110926_0070_0,car,78,604,626,177,198,462
110926_0070_0,car,79,605,627,178,198,440
110926_0070_0,car,80,605,627,175,198,506
110926_0070_0,car,81,603,626,173,197,552
110926_0070_0,car,82,603,624,173,196,483
110926_0070_0,car,83,603,624,175,196,441
110926_0070_0,car,84,601,622,176,197,441
110926_0070_0,car,85,601,621,174,196,440
110926_0070_0,car,86,602,620,175,195,360
110926_0070_0,car,87,601,620,173,194,399
110926_0070_0,car,88,601,621,173,195,440
110926_0070_0,car,89,601,620,173,194,399
110926_0070_0,car,90,602,621,173,195,418
110926_0070_0,car,91,602,621,174,195,399
110926_0070_0,car,92,601,621,174,195,420
110926_0070_0,car,93,601,622,172,194,462
110926_0070_0,car,94,601,622,171,193,462
110926_0070_0,car,95,602,623,171,193,462
110926_0070_0,car,96,603,623,172,193,420
110926_0070_0,car,97,603,624,173,195,462
110926_0070_0,car,98,603,625,173,195,484
110926_0070_0,car,99,603,625,172,195,506
110926_0070_0,car,100,605,625,171,193,440
110926_0070_1,skateboard,100,204,246,91,189,4116
110926_0070_0,car,101,606,626,171,193,440
110926_0070_0,car,102,606,627,170,192,462
110926_0070_0,car,103,607,627,170,193,460
110926_0070_0,car,104,606,629,170,194,552
110926_0070_0,car,105,608,629,170,194,504
110926_0070_0,car,106,610,630,170,194,480
110926_0070_0,car,107,609,630,170,193,483
110926_0070_0,car,108,610,631,169,192,483
110926_0070_0,car,109,609,630,169,191,462
110926_0070_0,car,110,610,630,168,191,460
110926_0070_0,car,111,610,631,168,191,483
110926_0070_0,car,112,611,631,168,191,460
110926_0070_0,car,113,610,632,168,190,484
110926_0070_0,car,114,611,633,168,190,484
110926_0070_0,car,115,611,633,167,189,484
110926_0070_0,car,116,612,634,166,189,506
110926_0070_0,car,117,613,636,166,190,552
110926_0070_0,car,118,614,638,167,190,552
110926_0070_0,car,119,617,639,167,190,506
